strain	collection_date	submission_date	country_code
KT453224	2014-09-05	2016-02-17	CHN
KT453225	2014-09-13	2016-02-17	CHN
KT453226	2014-10-14	2016-02-17	CHN
KT453227	2014-08-23	2016-02-17	CHN
KT453228	2014-10-12	2016-02-17	CHN
KT453229	2014-11-02	2016-02-17	CHN
KT453230	2014-09-22	2016-02-17	CHN
KT453231	2014-09-29	2016-02-17	CHN
KT453232	2014-09-14	2016-02-17	CHN
KT453233	2014-09-05	2016-02-17	CHN
KT453234	2014-09-05	2016-02-17	CHN
KT453235	2014-08-29	2016-02-17	CHN
KT453236	2014-11-05	2016-02-17	CHN
KT453237	2014-08-28	2016-02-17	CHN
KT453238	2014-09-06	2016-02-17	CHN
KT453239	2014-10-13	2016-02-17	CHN
KT453240	2014-09-16	2016-02-17	CHN
KT453241	2014-09-06	2016-02-17	CHN
KT453242	2014-08-02	2016-02-17	CHN
KT453243	2014-09-16	2016-02-17	CHN
KT453244	2014-09-17	2016-02-17	CHN
KC759167	2012-01-09	2013-05-29	CHN
MK949396	2018-09-24	2020-06-03	CHN
MK949397	2018-09-24	2020-06-03	CHN
MK949398	2018-09-24	2020-06-03	CHN
MK949399	2018-09-25	2020-06-03	CHN
MK949400	2018-09-25	2020-06-03	CHN
MK949401	2018-09-25	2020-06-03	CHN
MK949402	2018-09-25	2020-06-03	CHN
MK949403	2018-09-26	2020-06-03	CHN
MK949404	2018-09-26	2020-06-03	CHN
MK949405	2018-09-26	2020-06-03	CHN
MK949406	2018-09-26	2020-06-03	CHN
MK949407	2018-09-27	2020-06-03	CHN
MK949408	2018-09-27	2020-06-03	CHN
MK949409	2018-09-27	2020-06-03	CHN
MK949410	2018-09-27	2020-06-03	CHN
MK949411	2018-09-27	2020-06-03	CHN
MK949412	2018-09-27	2020-06-03	CHN
MK949413	2018-09-27	2020-06-03	CHN
MK949414	2018-09-27	2020-06-03	CHN
MK949415	2018-09-27	2020-06-03	CHN
MK949416	2018-09-27	2020-06-03	CHN
MK949417	2018-09-27	2020-06-03	CHN
MK949418	2018-09-27	2020-06-03	CHN
MK949419	2018-09-27	2020-06-03	CHN
MK949420	2018-09-27	2020-06-03	CHN
MK949421	2018-09-27	2020-06-03	CHN
MK949422	2018-09-28	2020-06-03	CHN
MK949423	2018-09-28	2020-06-03	CHN
MK949424	2018-09-28	2020-06-03	CHN
MK949425	2018-09-28	2020-06-03	CHN
MK949426	2018-09-28	2020-06-03	CHN
MK949427	2018-09-28	2020-06-03	CHN
MK949428	2018-09-28	2020-06-03	CHN
MK949429	2018-09-28	2020-06-03	CHN
MK949430	2018-09-28	2020-06-03	CHN
MK949431	2018-09-28	2020-06-03	CHN
MK949432	2018-09-28	2020-06-03	CHN
MK949433	2018-09-29	2020-06-03	CHN
MK949434	2018-09-29	2020-06-03	CHN
MK949435	2018-09-29	2020-06-03	CHN
MK949436	2018-09-29	2020-06-03	CHN
MK949437	2018-09-29	2020-06-03	CHN
MK949438	2018-09-29	2020-06-03	CHN
MK949439	2018-09-29	2020-06-03	CHN
MK949440	2018-09-29	2020-06-03	CHN
MK949441	2018-09-30	2020-06-03	CHN
MK949442	2018-09-30	2020-06-03	CHN
MK949443	2018-09-30	2020-06-03	CHN
MK949444	2018-09-30	2020-06-03	CHN
MW979757	2020-07-23	2021-10-04	CMR
MZ520700	2015-08-26	2021-07-14	CRI
MT040682	2018-05-04	2020-12-14	PRY
MT040683	2018-05-31	2020-12-14	PRY
MT040684	2018-06-08	2020-12-14	PRY
MT040685	2018-06-04	2020-12-14	PRY
MT040686	2018-06-07	2020-12-14	PRY
MT040687	2018-06-08	2020-12-14	PRY
MK858117	2016-08-26	2020-06-12	IND
MK858118	2016-08-25	2020-06-12	IND
MK858119	2016-08-11	2020-06-12	IND
MK858120	2016-08-06	2020-06-12	IND
MK858122	2016-08-07	2020-06-12	IND
MK858123	2016-08-09	2020-06-12	IND
MK858125	2016-08-08	2020-06-12	IND
MK858126	2016-08-09	2020-06-12	IND
MK858127	2016-10-27	2020-06-12	IND
MK858128	2016-04-09	2020-06-12	IND
MK858130	2016-10-25	2020-06-12	IND
MK858131	2016-10-24	2020-06-12	IND
MK858132	2016-08-10	2020-06-12	IND
MK858133	2016-08-10	2020-06-12	IND
MK858134	2016-10-21	2020-06-12	IND
MK858135	2016-10-20	2020-06-12	IND
MK858136	2016-10-17	2020-06-12	IND
MK858137	2016-10-07	2020-06-12	IND
MK858139	2016-10-06	2020-06-12	IND
MK858140	2016-09-10	2020-06-12	IND
MK858141	2017-09-22	2020-06-12	IND
MN567709	2019-03-27	2020-03-31	BRA
HG530176	2012-09-11	2015-09-25	LAO
HG530177	2012-10-11	2015-09-25	LAO
HG530141	2012-07-22	2015-01-31	LAO
HG530142	2012-07-24	2015-01-31	LAO
HG530143	2012-07-31	2015-01-31	LAO
HG530144	2012-07-28	2015-01-31	LAO
HG530145	2012-07-31	2015-01-31	LAO
HG530146	2012-08-04	2015-01-31	LAO
HG530147	2012-08-14	2015-01-31	LAO
HG530148	2012-08-18	2015-01-31	LAO
HG530149	2012-08-17	2015-01-31	LAO
HG530150	2012-08-21	2015-01-31	LAO
HG530151	2012-08-26	2015-01-31	LAO
HG530152	2012-08-30	2015-01-31	LAO
HG530153	2012-08-30	2015-01-31	LAO
HG530154	2012-09-06	2015-01-31	LAO
HG530155	2012-09-07	2015-01-31	LAO
HG530156	2012-09-18	2015-01-31	LAO
HG530157	2012-09-18	2015-01-31	LAO
HG530158	2012-06-19	2015-01-31	LAO
HG530159	2012-07-16	2015-01-31	LAO
HG530160	2012-07-17	2015-01-31	LAO
HG530161	2012-07-23	2015-01-31	LAO
HG530162	2012-07-19	2015-01-31	LAO
HG530163	2012-09-14	2015-01-31	LAO
HG530164	2012-09-17	2015-01-31	LAO
HG530165	2012-09-20	2015-01-31	LAO
HG530166	2012-09-28	2015-01-31	LAO
HG530167	2012-02-10	2015-01-31	LAO
HG530168	2012-01-10	2015-01-31	LAO
HG530169	2012-10-02	2015-01-31	LAO
HG530170	2012-10-04	2015-01-31	LAO
HG530171	2012-10-09	2015-01-31	LAO
HG530172	2012-10-29	2015-01-31	LAO
HG530173	2012-10-29	2015-01-31	LAO
HG530174	2012-10-25	2015-01-31	LAO
HG530175	2012-11-11	2015-01-31	LAO
HG530178	2012-08-11	2015-01-31	LAO
HG530179	2012-11-13	2015-01-31	LAO
HG530180	2012-11-13	2015-01-31	LAO
HG530181	2012-11-14	2015-01-31	LAO
HG530182	2012-12-11	2015-01-31	LAO
HG530183	2012-11-15	2015-01-31	LAO
HG530184	2012-11-16	2015-01-31	LAO
HG530185	2012-11-19	2015-01-31	LAO
HG530186	2012-11-23	2015-01-31	LAO
HG530187	2012-11-23	2015-01-31	LAO
HG530188	2012-11-26	2015-01-31	LAO
HG530189	2012-11-28	2015-01-31	LAO
